Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,,,,
Existing Customer,F,College,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,College,Single,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Divorced,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Attrited Customer,M,Uneducated,Unknown,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,College,Divorced,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Attrited Customer,F,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Single,Less than $40K,Silver,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Post-Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Divorced,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Doctorate,Married,Unknown,Blue,,,,,,,,,,,
Attrited Customer,M,High School,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$60K - $80K,Blue,,,,,,,,,,,
Attrited Customer,M,High School,Unknown,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Single,$120K +,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Doctorate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,College,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,College,Divorced,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Single,$60K - $80K,Blue,,,,,,,,,,,
Attrited Customer,F,Post-Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Divorced,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,,,,,,,,,,,
Attrited Customer,M,Uneducated,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,College,Divorced,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Divorced,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Attrited Customer,M,College,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Divorced,$60K - $80K,Silver,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,College,Married,Less than $40K,Blue,,,,,,,,,,,
Attrited Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Doctorate,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,College,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$60K - $80K,Blue,,,,,,,,,,,
Attrited Customer,M,Doctorate,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,College,Divorced,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Doctorate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,College,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Divorced,Less than $40K,Silver,,,,,,,,,,,
Existing Customer,M,High School,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Divorced,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$120K +,Blue,,,,,,,,,,,
Attrited Customer,M,Uneducated,Single,$120K +,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Divorced,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Post-Graduate,Divorced,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,$80K - $120K,Silver,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Divorced,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Unknown,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,College,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Divorced,Unknown,Silver,,,,,,,,,,,
Existing Customer,F,Graduate,Single,$40K - $60K,Blue,,,,,,,,,,,
Attrited Customer,F,Post-Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Doctorate,Divorced,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Post-Graduate,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$60K - $80K,Blue,,,,,,,,,,,
Attrited Customer,M,Graduate,Single,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Doctorate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Divorced,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Post-Graduate,Divorced,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$120K +,Blue,,,,,,,,,,,
Attrited Customer,M,Unknown,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Unknown,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,$40K - $60K,Blue,,,,,,,,,,,
Attrited Customer,F,High School,Single,Less than $40K,Silver,,,,,,,,,,,
Existing Customer,F,College,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Divorced,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Doctorate,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Post-Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Divorced,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,College,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Unknown,$120K +,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Single,Unknown,Silver,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,,,,,,,,,,,
Attrited Customer,M,High School,Divorced,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,College,Unknown,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Divorced,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Attrited Customer,M,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,College,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Single,$40K - $60K,Silver,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,College,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,High School,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,College,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Attrited Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Attrited Customer,M,College,Divorced,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Single,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Post-Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Post-Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Doctorate,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Doctorate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,College,Single,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Unknown,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$120K +,Blue,,,,,,,,,,,
Attrited Customer,F,College,Single,Unknown,Silver,,,,,,,,,,,
Existing Customer,M,College,Unknown,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Single,$120K +,Blue,,,,,,,,,,,
Existing Customer,F,College,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,Doctorate,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,College,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Unknown,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Doctorate,Married,$60K - $80K,Blue,,,,,,,,,,,
Attrited Customer,M,Graduate,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,College,Married,$60K - $80K,Blue,,,,,,,,,,,
Attrited Customer,F,Doctorate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Attrited Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,High School,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,College,Divorced,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,College,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,College,Unknown,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Silver,,,,,,,,,,,
Existing Customer,F,High School,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Doctorate,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Unknown,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Doctorate,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Post-Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Doctorate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$120K +,Blue,,,,,,,,,,,
Attrited Customer,M,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,High School,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Single,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,$120K +,Blue,,,,,,,,,,,
Attrited Customer,M,Doctorate,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,Uneducated,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,F,Unknown,Married,Unknown,Blue,,,,,,,,,,,
Existing Customer,F,High School,Divorced,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Divorced,$120K +,Blue,,,,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Single,Less than $40K,Blue,,,,,,,,,,,
Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Single,$40K - $60K,Blue,,,,,,,,,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,,,,,
